"","geneID","HS01","HS02","HS03","HS04","HS05","CL08","CL10","CL11","CL12","CL13"
"123","ARHGAP40",2.37689181985493,4.02932904009262,3.2445824225984,3.38361411538675,3.29297079702714,1.60639696570899,-2.56201642088236,-1.5207477714998,-1.27840261479624,0.474124612064101
"124","ARHGAP45",3.69631850597036,4.92544991825658,4.18737405492193,4.58067626682949,6.22723392755757,7.96494799959304,8.08933017302608,8.64527805776668,8.86703232579887,7.897441724017
"125","ARHGAP9",1.94531615484512,2.17530314159005,2.41208062822164,2.56132499450041,2.65527483265472,5.53125831002868,6.22434062041978,6.37187985984644,6.4658515852258,5.95357734816344
"126","ARHGEF1",3.09182553976724,4.03047433857432,3.44982296362461,3.95995967728693,4.48473631338706,4.88993288430886,5.9412427974695,6.34647359387563,6.02160391723441,5.90621932039817
"127","ARHGEF26",4.1333340562748,5.56327634770512,4.41705353068696,5.72955636011255,5.25194476614793,0.306975405903211,2.08472686032831,2.36381199884753,1.32257846168238,2.08464785505346
"128","ARHGEF28",7.51354789457629,7.07377064927284,7.45631038768685,7.12017903293619,6.31711854050253,5.17860154753095,4.60210966209941,3.87623174696164,4.33709893158589,3.87704672411638
"129","ARHGEF37",8.20307815586248,7.77069788379902,7.4423155395676,7.68177308416198,7.7477637546124,6.02192580002182,3.13651444430305,3.5530232421598,3.97245821360276,5.27989502000861
"130","ARHGEF4",6.31442800076632,5.9767519681846,6.60020687057625,5.83681723546167,5.88587586098436,4.79336955691963,3.68087826286277,3.87265848199621,3.9739425968461,4.24428857290529
"131","ARID5A",2.19885854850408,1.88933845385822,2.38615899795195,2.40572065021094,1.01386085711101,4.75406173772384,5.31801848104392,5.4516468929011,5.56572085123624,4.6779572146623
"132","ARPC1B",3.82026984235822,3.58296924513172,3.04870640591521,4.18445006194938,4.22820809480621,7.21289655930614,6.8669767796552,7.91611394448155,7.73356091349335,7.67014020784885
"133","ARRB2",2.80756390541888,3.19791753459985,3.68692467613369,3.80364212523505,5.45923412664149,5.61449384782317,6.17896707433345,6.19297832015218,6.0962683078221,6.28697691715056
"134","ARRDC2",4.20062022281637,4.65137933135779,4.18393548255311,3.7969397442959,4.15195657820416,6.35631476887337,6.11624396132287,6.48316920911549,6.52810471312088,6.2533244550148
"135","ARSI",0.266147150401674,1.01774956659584,-2.10140111527642,2.57393679546178,3.25326244267491,3.12657708269459,3.20859723959266,3.79174261481229,3.00286713943513,2.90864923646848
"136","ASS1P1",-3.91373261958137,-4.19420928243321,-3.25941292537683,-2.57313504689665,-1.28132806748301,0.30947700304763,0.794055502792863,0.652038753339826,1.35814351072504,1.49238378819038
"137","ATP13A4",6.28967223817014,5.53982729731091,6.00793258400468,5.15374188462897,5.51045206076724,4.06473954591258,-0.662735437383307,2.2399653343001,2.80327697786268,3.71879895408069
"138","ATP13A5",3.25592620965882,2.24082056028471,3.54737931150434,2.82560083890823,3.71139780324789,0.896488046130046,-0.067383809194381,0.287281624339363,-4.70326964214703,-2.17814671679899
"139","ATP1A2",2.99400926255724,1.42636411828563,4.96013771860266,5.02427216969768,-1.28132806748301,-5.72599267913226,1.78324129939236,-5.11837980564277,-3.16970833561007,-6.21690319683074
"140","ATP2C2",5.997162904997,5.4675787826268,5.49470498007654,4.888135813102,6.11188558564325,4.04434146608355,1.94273610219301,2.27722794184079,1.4951238777169,2.83748335443389
"141","ATP6V0A4",5.93080349934523,4.07904447979436,3.452517769283,3.98720242230026,5.28925388425052,2.46884067980737,-5.05205299086839,0.0743318037203411,-3.42208151386748,0.270453209191415
"142","ATP6V1B1",4.05978877964404,3.66848113103597,3.04373888225897,3.26018733624743,4.2736247563708,1.18733959456976,-2.93735985951708,0.33881238619626,-1.4211084241577,0.562686275355277
"143","ATP7A",6.3698417486187,6.1651776057306,4.76405378899739,5.59265970450864,5.73890328782474,2.75219850554649,0.172610097810824,3.42856912433097,3.40002823494775,4.3579961921808
"144","AXIN2",5.77772697319997,4.94915269177637,5.76214005978706,4.98703175299412,6.31460780606515,3.92104346206087,3.66586340937486,2.65603027286352,2.2964617847048,3.32074733798733
"145","B2M",10.5095374330218,10.2507451028485,10.3644978866984,10.7575921252352,8.12342650999117,13.2611893356368,12.7578652754672,13.8769623846257,13.5659262717594,12.9397106095231
"146","B4GALNT2",5.78834578213801,5.23230045356281,5.40405785213675,5.08606472954738,-1.28132806748301,0.374231008571276,1.36822539071647,2.41396679477014,1.19937694154214,-1.53227277971743
"147","B4GALNT3",4.96090417268462,3.73181808390681,4.04195249799717,4.69342320480095,4.71735675554321,3.56745384063104,1.5279944946606,1.49011856544001,1.48196014978466,2.11399176871761
"148","BAIAP2",6.28099505425584,6.07455577793454,5.85107557717896,5.97016297802014,5.72982278407257,4.61600031166518,3.46556871198394,2.69912734311529,2.53087193790239,3.86173202712678
"149","BARX2",5.67795319422642,4.02487571765196,4.5160913643048,3.28300940426304,4.70995794150272,2.41803526286548,0.523955334827353,1.15648656474902,0.801972743553403,3.02135492348349
"150","BATF",-0.158354125112634,0.897874065157683,0.228259400348408,1.04234448952061,1.38017147862844,5.08906851468283,5.08076649086814,5.97035318109593,5.97747981127738,4.73274783015411
"151","BATF2",-0.446493269964435,-0.389108549362188,0.111732930617454,0.454767838171443,-1.28132806748301,4.0936763609962,4.08107725604777,5.06851570168589,5.39962851265676,4.97020802111081
